iter	Passed	Remaining
456	829	985
457	830	982
458	831	979
459	832	976
460	832	973
461	833	970
462	834	968
463	839	970
464	841	968
465	842	965
466	843	962
467	844	960
468	845	957
469	846	954
470	847	952
471	848	949
472	849	946
473	858	952
474	859	949
475	860	947
476	861	944
477	863	942
478	863	939
479	864	936
480	865	934
481	871	936
482	872	934
483	874	931
484	874	929
485	875	926
486	876	923
487	877	920
488	878	917
489	878	914
490	879	911
491	880	909
492	888	914
493	889	911
494	891	909
495	892	906
496	893	904
497	894	901
498	895	899
499	896	896
500	902	898
501	904	896
502	905	894
503	906	892
504	907	889
505	909	887
506	910	885
507	912	883
508	919	887
509	920	884
510	922	882
511	923	880
512	924	877
513	926	876
514	932	877
515	933	875
516	934	873
517	935	870
518	937	868
519	938	866
520	939	863
521	941	861
522	942	859
523	947	860
524	949	858
525	950	856
526	951	854
527	953	851
528	954	850
529	956	847
530	957	845
531	958	843
532	960	841
533	961	839
534	964	838
535	965	835
536	966	833
537	969	832
538	975	834
539	977	832
540	978	830
541	980	828
542	981	826
543	983	824
544	984	821
545	985	819
546	987	818
547	989	816
548	991	814
549	993	812
550	994	810
551	995	808
552	997	806
553	1002	806
554	1003	804
555	1004	802
556	1005	800
557	1008	798
558	1010	796
559	1020	801
560	1021	799
561	1023	797
562	1024	795
563	1025	793
564	1027	790
565	1028	788
566	1032	788
567	1034	787
568	1036	785
569	1037	782
570	1038	780
571	1039	778
572	1041	775
573	1042	773
574	1043	771
575	1051	773
576	1052	771
577	1054	769
578	1061	772
579	1063	769
580	1064	767
581	1065	765
582	1066	762
583	1110	791
584	1112	788
585	1113	786
586	1115	784
587	1131	792
588	1132	790
589	1133	787
590	1134	785
591	1139	785
592	1142	784
593	1143	781
594	1145	779
595	1146	777
596	1148	775
597	1150	773
598	1158	775
599	1159	773
600	1164	772
601	1165	770
602	1166	768
603	1173	769
604	1174	767
605	1176	764
606	1180	764
607	1181	761
608	1193	766
609	1195	764
610	1196	761
611	1197	759
612	1199	757
613	1204	757
614	1206	755
615	1207	752
616	1210	751
617	1211	749
618	1212	746
619	1213	743
620	1214	741
621	1221	742
622	1223	740
623	1226	739
624	1228	736
625	1229	734
626	1230	731
627	1236	732
628	1237	730
629	1238	727
630	1240	725
631	1241	722
632	1242	720
633	1242	717
634	1243	715
635	1244	712
636	1246	710
637	1252	710
638	1253	708
639	1255	706
640	1256	703
641	1257	701
642	1258	698
643	1259	696
644	1260	693
645	1261	691
646	1265	690
647	1266	688
648	1267	685
649	1268	683
650	1270	680
651	1270	678
652	1271	675
653	1272	673
654	1274	671
655	1275	668
656	1276	666
657	1280	665
658	1282	663
659	1283	661
660	1284	658
661	1285	656
662	1286	653
663	1286	651
664	1287	648
665	1289	646
666	1290	644
667	1291	642
668	1296	641
669	1297	638
670	1298	636
671	1299	634
672	1300	631
673	1301	629
674	1302	627
675	1303	624
676	1304	622
677	1305	619
678	1305	617
679	1306	614
680	1311	614
681	1312	611
682	1313	609
683	1315	607
684	1316	605
685	1317	602
686	1318	600
687	1319	598
688	1320	595
689	1320	593
690	1321	591
691	1325	590
692	1326	587
693	1327	585
694	1328	583
695	1329	580
696	1330	578
697	1331	576
698	1332	573
699	1332	571
700	1333	568
701	1334	566
702	1335	564
703	1336	561
704	1337	559
705	1343	559
706	1345	557
707	1346	555
708	1347	553
709	1348	550
710	1349	548
711	1350	546
712	1355	545
713	1356	543
714	1357	541
715	1359	539
716	1360	536
717	1360	534
718	1361	532
719	1363	530
720	1364	527
721	1365	525
722	1370	525
723	1371	522
724	1372	520
725	1373	518
726	1374	516
727	1375	514
728	1377	511
729	1378	509
730	1379	507
731	1380	505
732	1381	503
733	1383	501
734	1385	499
735	1386	497
736	1387	494
737	1387	492
738	1388	490
739	1389	488
740	1390	486
741	1391	483
742	1392	481
743	1392	479
744	1393	477
745	1394	474
746	1401	474
747	1403	472
748	1404	470
749	1405	468
750	1406	466
751	1407	464
752	1408	461
753	1408	459
754	1409	457
755	1410	455
756	1411	453
757	1412	450
758	1413	448
759	1415	446
760	1416	444
761	1417	442
762	1418	440
763	1419	438
764	1420	436
765	1420	434
766	1421	431
767	1422	429
768	1423	427
769	1424	425
770	1428	424
771	1429	422
772	1430	420
773	1431	418
774	1432	415
775	1433	413
776	1434	411
777	1435	409
778	1436	407
779	1437	405
780	1438	403
781	1438	401
782	1439	398
783	1443	397
784	1444	395
785	1446	393
786	1447	391
787	1448	389
788	1449	387
789	1450	385
790	1451	383
791	1452	381
792	1453	379
793	1454	377
794	1455	375
795	1459	374
796	1461	372
797	1462	370
798	1463	368
799	1464	366
800	1465	364
801	1466	361
802	1466	359
803	1467	357
804	1468	355
805	1470	353
806	1476	353
807	1477	350
808	1478	348
809	1479	346
810	1479	344
811	1480	342
812	1481	340
813	1482	338
814	1483	336
815	1484	334
816	1484	332
817	1485	330
818	1491	329
819	1492	327
820	1493	325
821	1495	323
822	1497	321
823	1499	320
824	1499	318
825	1500	316
826	1507	315
827	1508	313
828	1509	311
829	1509	309
830	1510	307
831	1511	305
832	1512	303
833	1513	301
834	1514	299
835	1515	297
836	1515	295
837	1519	293
838	1520	291
839	1521	289
840	1522	287
841	1523	285
842	1524	283
843	1525	281
844	1526	279
845	1527	277
846	1528	276
847	1528	274
848	1529	272
849	1530	270
850	1531	268
851	1537	267
852	1538	265
853	1539	263
854	1541	261
855	1542	259
856	1543	257
857	1544	255
858	1545	253
859	1545	251
860	1552	250
861	1555	248
862	1556	247
863	1556	245
864	1557	243
865	1558	241
866	1559	239
867	1560	237
868	1561	235
869	1567	234
870	1568	232
871	1570	230
872	1571	228
873	1572	226
874	1574	224
875	1576	223
876	1577	221
877	1579	219
878	1580	217
879	1581	215
880	1582	213
881	1585	212
882	1587	210
883	1588	208
884	1602	208
885	1603	206
886	1605	204
887	1607	202
888	1608	200
889	1610	198
890	1611	197
891	1612	195
892	1613	193
893	1614	191
894	1615	189
895	1626	188
896	1631	187
897	1641	186
898	1643	184
899	1645	182
900	1646	180
901	1647	178
902	1648	177
903	1655	175
904	1657	173
905	1659	172
906	1661	170
907	1663	168
908	1671	167
909	1673	165
910	1675	163
911	1676	161
912	1677	159
913	1679	158
914	1687	156
915	1689	154
916	1690	152
917	1692	151
918	1693	149
919	1694	147
920	1695	145
921	1697	143
922	1699	141
923	1700	139
924	1701	137
925	1703	136
926	1711	134
927	1713	132
928	1714	131
929	1717	129
930	1718	127
931	1725	125
932	1727	124
933	1728	122
934	1729	120
935	1730	118
936	1731	116
937	1732	114
938	1733	112
939	1734	110
940	1741	109
941	1742	107
942	1744	105
943	1745	103
944	1747	101
945	1749	99
946	1756	98
947	1758	96
948	1759	94
949	1760	92
950	1761	90
951	1762	88
952	1763	86
953	1764	85
954	1771	83
955	1772	81
956	1773	79
957	1774	77
958	1775	75
959	1776	74
960	1777	72
961	1777	70
962	1778	68
963	1779	66
964	1780	64
965	1788	62
966	1789	61
967	1790	59
968	1792	57
969	1794	55
970	1795	53
971	1802	51
972	1804	50
973	1805	48
974	1806	46
975	1808	44
976	1809	42
977	1811	40
978	1820	39
979	1821	37
980	1822	35
981	1823	33
982	1826	31
983	1834	29
984	1836	27
985	1837	26
986	1838	24
987	1839	22
988	1842	20
989	1849	18
990	1850	16
991	1851	14
992	1852	13
993	1854	11
994	1857	9
995	1858	7
996	1867	5
997	1868	3
998	1870	1
999	1871	0
